Rank,Title,Username,Rating,Score,Performance,Team,Sheet
1,,Seavillage-71,2252,73,2497,,
2,,Risman_PercasiKrw,1984,44,2059,,
3,,MOMAS-2,2107,43,2115,,
4,,atcharaparn,2270,42,2238,,
5,,shubham1878,1999,38,2118,,
6,,Nakamyryk,2266,37,2289,,
7,,ashot_01,2173,37,2243,,
8,,ChessDragonPrince,2021,37,2142,,
9,,GloriousGibberish,2153,36,2436,,
10,,Vladimir63Iurev,2197,34,2425,,
11,,feddd,2262,34,2330,,
12,,biysk01,2137,34,2170,,
13,FM,h-bar,2452,33,2495,,
14,,Kaliberda_Vladimir,2310,33,2227,,
15,,LOST_IN_FUTURE,2194,33,2160,,
16,,RANDYORTONRKO,2036,33,2055,,
17,,ODIDIMODE,2247,32,2425,,
18,,perekop11,2027,32,2275,,
19,,Fatkhutdinov_M,2068,32,2211,,
20,,vitorbmb2009,2116,32,1852,,
21,,drowler,2130,31,2236,,
22,,spass12,2162,30,2247,,
23,,RESET-101,2138,30,2171,,
24,,yamwaovic,1936,30,2036,,
25,,Yurant73,1955,30,1985,,
26,,alexer47,2033,29,2221,,
27,,cavallo-bolso,1985,28,2090,,
28,,Mihgrig,2044,28,2090,,
29,,LoginAleks,1976,28,2040,,
30,,TaxMan_006,1841,28,1845,,
31,,L1ncompris,1936,27,2090,,
32,,johnvas,1933,27,2023,,
33,FM,tolichach,2147,26,2326,,
34,,StrukovRobert,2463,26,2188,,
35,,elingeniero,2062,26,2161,,
36,,tembokbetontuba,1931,26,2134,,
37,,baby-shark1970,1821,26,1891,,
38,,chuluun_g,2125,25,2231,,
39,,SGanga,2017,25,2219,,
40,,kalambureus,2179,25,2165,,
41,,jeevanjms,1878,24,2424,,
42,,putriloyo,2005,24,2269,,
43,,marjani3900,2152,24,2158,,
44,,VjayChess,2266,24,2107,,
45,,Tonystarkandpepper,1737,24,2044,,
46,,mongueletor,1883,24,1935,,
47,,marecospedro,1880,24,1835,,
48,,michaeljeromekieser1,1666,24,1773,,
49,,Alman0001,2012,23,2198,,
50,,Obedite,1855,23,1960,,
51,,H12KING,2123,22,2287,,
52,,dk2008,1960,22,2261,,
53,,AbdelfatahSall,1959,22,2085,,
54,,kingdavid4t,2090,22,2077,,
55,,Birdieloose,1912,22,2008,,
56,,Tumelo-10,1985,22,1975,,
57,,olezhka792537,1821,22,1923,,
58,,Stonewall_BoyRivers,1779,22,1844,,
59,,ernestomontano,1942,22,1830,,
60,,Ertau,1995,22,1728,,
61,,Hobuseraud,1898,21,2148,,
62,,DrVladimir64,2188,21,2136,,
63,,AjiBond,2148,20,2471,,
64,,BudapestoSauce,2277,20,2285,,
65,,sahilrec9,2146,20,2223,,
66,,gmchoy,2231,20,2207,,
67,,Zdravko_L,2139,20,2206,,
68,,Chichi30,1884,20,2174,,
69,,waleed2003,2201,20,2163,,
70,,Clement-G,2033,20,2148,,
71,,Turton24,2189,20,2145,,
72,,JordyOrtega,1946,20,2132,,
73,,Nantenaina401,2098,20,2104,,
74,,Kulbaev_Marat1964,1799,20,2066,,
75,,grantelnundmotzen,1986,20,2034,,
76,,Bourne22,2187,20,2028,,
77,,ma2008manit,1685,20,2001,,
78,,Ben-Lekale,1781,20,1993,,
79,,Toms0817,1987,20,1991,,
80,,KK0208,1905,20,1935,,
81,,PeonMata86,2035,20,1916,,
82,,AlekseyPopov,2106,20,1902,,
83,,Asd2635,1863,20,1881,,
84,,lushtaku,1933,20,1872,,
85,,kudahitam75,2121,20,1851,,
86,,Sanujas,1696,20,1844,,
87,,akhileshpendharkar,1698,20,1746,,
88,,Mihail1403,2151,19,2190,,
89,,temuge2022,1829,19,2154,,
90,,Sonyds,2142,19,2147,,
91,,Aurora_Soph,1960,19,2017,,
92,,paddymaffy,1903,19,1945,,
93,,SergeyVoronov,1765,19,1846,,
94,,bek666,2026,18,2198,,
95,,MESSENGER-DODONG_97,2180,18,2151,,
96,,Vollendrund,1954,18,2097,,
97,,Benjamin_Benoni,1837,18,1976,,
98,,girgirin,1559,18,1958,,
99,,san_san20,1983,18,1950,,
100,,misternav,1788,18,1946,,
101,,pachadrama,1969,18,1918,,
102,,JezDvictoria,1857,18,1884,,
103,,Slava3ABP,1610,18,1702,,
104,,Papatenjtemj,1787,18,1689,,
105,,SunF,1999,17,2292,,
106,,konykonyi,1940,17,2164,,
107,,andronkuzmin,2050,17,2128,,
108,,Genom21,1864,17,2044,,
109,,Fijoquepierdes,1966,17,1976,,
110,,crazzychess,1657,17,1932,,
111,,IanVR2013,2076,17,1930,,
112,,Stone_crusher,1835,17,1928,,
113,,Sachamariaricardo,1871,17,1736,,
114,,Sachse1960,1909,16,2275,,
115,,ColossusChess,2348,16,2192,,
116,,Edgar2933,1969,16,2179,,
117,,aliabadi46,1865,16,2179,,
118,,Juara_Ciwaru,2041,16,2114,,
119,,Tontonzky,2032,16,2109,,
120,,foduck,2162,16,2086,,
121,,BlunderInducer,1975,16,2075,,
122,,chinnu1234,2107,16,2048,,
123,,AlexandrKostenko,1948,16,2016,,
124,,ArtemPetrovskiy36617,2087,16,2010,,
125,,vijayrag,1937,16,1998,,
126,,franklinwane,1967,16,1980,,
127,,AhmadrezaRock,2017,16,1970,,
128,,aydin1397,1911,16,1943,,
129,,PalestineChampion,2143,16,1922,,
130,,Myth07,1815,16,1914,,
131,,Dvorgin,1758,16,1914,,
132,,Dasharathisahoo,2009,16,1886,,
133,,SupermanClark0630,1896,16,1875,,
134,,evgeny1442,1972,16,1864,,
135,,kamogelo458,1888,16,1849,,
136,,Leif-Lopez,2050,16,1829,,
137,,SiberiaRFplus,1798,16,1792,,
138,,zzdenek,1872,16,1780,,
139,,po-11,1810,16,1770,,
140,,Damnation_2,1832,16,1694,,
141,,TheDialBeGreat,1879,16,1661,,
142,,khablander62,1879,16,1654,,
143,,Orfeus0,1549,16,1536,,
144,,vestan,1989,15,1970,,
145,,toastyduck,1757,15,1952,,
146,,Alexsandr0110,1865,15,1887,,
147,,Rubenmachado,1939,15,1887,,
148,,Rishiranjan,1779,15,1885,,
149,,MD1985,1975,15,1856,,
150,,nik_77,1837,15,1852,,
151,,gusmate,1922,15,1844,,
152,,kamilasardor,1941,15,1780,,
153,,zavian19,2022,15,1705,,
154,,evgeny1955,1800,14,2165,,
155,,JojitPascual,1966,14,2140,,
156,,danilovva,1936,14,2120,,
157,,Chezcazi2020,1828,14,2034,,
158,,alch3m1st,1817,14,2022,,
159,,Bbvl,1753,14,2017,,
160,,Sherzod0571,1960,14,2004,,
161,,BBBstock,1800,14,1986,,
162,,supermindcsgo,1990,14,1935,,
163,,ANIL_78392,1967,14,1924,,
164,,Vladimir_Ivanov_Nsk,1643,14,1887,,
165,,Rockyzato,1840,14,1852,,
166,,Narata,1840,14,1848,,
167,,mirto3004,1926,14,1846,,
168,,coinbaseaktie,1740,14,1841,,
169,,Muaco02,1747,14,1832,,
170,,Konst777,1829,14,1817,,
171,,gentaa12,1818,14,1805,,
172,,trembilaci,1940,14,1785,,
173,,MONSTER_SLI,1807,14,1771,,
174,,haykmba,1837,14,1769,,
175,,jonukas60,1714,14,1737,,
176,,Universalk,1640,14,1691,,
177,,Luya,1707,14,1670,,
178,,el_khabeer,1601,14,1628,,
179,,safenorsound,2314,13,2379,,
180,,Dagon1984,2384,13,2186,,
181,,Behrooz-bagheri,2324,13,2125,,
182,,Vache0696,1911,13,1973,,
183,,bosk,2222,13,1909,,
184,,renatherion,1765,13,1844,,
185,,Ahel74,1696,13,1836,,
186,,VEERMANI,1803,13,1836,,
187,,gioser093,1725,13,1797,,
188,,Yuni38,1430,13,1761,,
189,,thata1970,1734,13,1750,,
190,,agentxyz,1203,13,1673,,
191,,Amrullahm,1974,12,2346,,
192,,alfilF4,2052,12,2269,,
193,,barratsani,1775,12,2238,,
194,,Mohamedshamroukh,1731,12,2148,,
195,,Vladimir1961,1976,12,2142,,
196,,Otbasy1_2_Mussabayev,2083,12,2093,,
197,,Rustampiruni,2005,12,2073,,
198,,JoseOmar_CasAjedrez,1926,12,2040,,
199,,Andrey55555,1735,12,2015,,
200,,edyardpar1976,1703,12,1961,,
201,,anass97400,1562,12,1958,,
202,,mohammadi_arashk,1858,12,1948,,
203,,Lilly_Morphy,1996,12,1937,,
204,,CecepH_KabBogor,2049,12,1920,,
205,,powerchord1991,1738,12,1907,,
206,,fatih_98,1795,12,1901,,
207,,Stanislaw123,2025,12,1863,,
208,,Tricky_169,1637,12,1854,,
209,,tharlam,1709,12,1845,,
210,,mazurB,1696,12,1831,,
211,,rafoesdelau9,1561,12,1816,,
212,,eccu,1998,12,1812,,
213,,akronilionkrystal,1925,12,1807,,
214,,ZarMade,1768,12,1801,,
215,,mudohautos,1783,12,1784,,
216,,svet-ok72,1708,12,1761,,
217,,ShevchenkoM150,1617,12,1748,,
218,,ElNero1,2243,12,1733,,
219,,ekremmd,1994,12,1720,,
220,,zizwe27,1404,12,1710,,
221,,call-prikol,1469,12,1706,,
222,,Ivan_Domnin,1535,12,1699,,
223,,MuhammadAqilRana,1633,12,1695,,
224,,ansi0801,1754,12,1695,,
225,,CyniQue1995,1764,12,1676,,
226,,Urgence17,1572,12,1671,,
227,,independenttraders,1551,12,1652,,
228,,ngwj2023,1534,12,1638,,
229,,zoltan007,1549,12,1551,,
230,,Shivanshi321,1722,12,1506,,
231,,Alexis_Emil_Maribao,2402,11,2221,,
232,,kafili5000,1905,11,2174,,
233,,Obur_92TM,2026,11,2082,,
234,,Stalemate_2007,2017,11,2053,,
235,,Moktaro,1749,11,2047,,
236,,ali_alipoor2008,1832,11,1960,,
237,,Nadersalah2,1810,11,1929,,
238,,mihar88,1647,11,1919,,
239,,xyjan,1969,11,1892,,
240,,cartertaylorjones,1831,11,1859,,
241,,SimratA,1803,11,1847,,
242,,Prodent100,2023,11,1847,,
243,,parvez_mecha,1744,11,1832,,
244,,A714445,1991,11,1829,,
245,,ALEKSANDR7775,1682,11,1811,,
246,,Serhat222,2067,11,1793,,
247,,JulioAvellaneda,1790,11,1751,,
248,,MogensDK,1865,11,1712,,
249,,omarlamn005,1891,11,1693,,
250,,adnow,1784,11,1676,,
251,,Vincenciusjulius,1567,11,1606,,
252,,rr19042003,2046,10,2290,,
253,,gr8k9t,1970,10,2235,,
254,,dubidubik007,1867,10,2202,,
255,,nisanl57,2026,10,2142,,
256,,godsownkerala,1969,10,2115,,
257,,BAPbI4,1842,10,2108,,
258,,Kisa69,1913,10,2073,,
259,,zygas16,2162,10,2039,,
260,,biokompott,1985,10,2033,,
261,,GajahSakti,2158,10,1997,,
262,,ST-AN-AR,1963,10,1953,,
263,,J_H_T_R,1903,10,1949,,
264,,G-Rue,1863,10,1920,,
265,,Zoa-skn77,1913,10,1856,,
266,,fenki,1861,10,1848,,
267,,alekoasd,1621,10,1847,,
268,,DIgor1706,1862,10,1837,,
269,,HighestUnrated,1910,10,1826,,
270,,Elzio123,1904,10,1814,,
271,,Magnocarlo,1644,10,1774,,
272,,madothi,1473,10,1763,,
273,,OrcatReloaded,1391,10,1748,,
274,,imvencut,1777,10,1747,,
275,,Bapi-das,1869,10,1739,,
276,,duzhan72-temir,1537,10,1731,,
277,,eliecercruzramirez71,1789,10,1726,,
278,,rodchrysler,1741,10,1714,,
279,,IkromAkhunov,1818,10,1705,,
280,,richardmvula90,1854,10,1672,,
281,,ferdrio2020,1849,10,1663,,
282,,sehahaf,1722,10,1649,,
283,,BugJon,1425,10,1640,,
284,,Yasvic,1725,10,1617,,
285,,costinpopa,1733,10,1602,,
286,,tonusrossi,1643,10,1589,,
287,,JosePalenzuela,1782,10,1580,,
288,,elenavenera,1422,10,1578,,
289,,Francklerenoi,1454,10,1575,,
290,,Eswar122450harshini,1422,10,1573,,
291,,zlalexxx1,1173,10,1462,,
292,,DONGUZ-ORENBURG,1512,10,1451,,
293,,INFLAMABLE777,1112,10,1421,,
294,,azoq_the_defiler,2013,9,2292,,
295,,atigla,2143,9,2163,,
296,,Ionih,1935,9,2141,,
297,,EricGuanteng,1943,9,1972,,
298,,Bilgee14,1856,9,1950,,
299,,Hijkl_froost,1868,9,1893,,
300,,Wangler,1821,9,1847,,
301,,vanjodan,1935,9,1837,,
302,,ASLLAGAS,1604,9,1815,,
303,,Vadim321,1674,9,1779,,
304,,checkpeace,2117,9,1764,,
305,,masduanto,1696,9,1763,,
306,,Andrey3399,1854,9,1754,,
307,,MessiKon,1773,9,1753,,
308,,aleksli78,1899,9,1737,,
309,,uaRapid,1816,9,1722,,
310,,VORONKOV_ROMAN,1974,9,1713,,
311,,Kumarchampion,1715,9,1683,,
312,,ThuyBachDuong,1866,9,1668,,
313,,Demon702,1869,9,1666,,
314,,BSI73,1890,9,1640,,
315,,CLSfrog,1471,9,1632,,
316,,Djoy11,1667,9,1632,,
317,,Serega63,1673,9,1520,,
318,,Divyanshu7617,1340,9,1518,,
319,,samettosun,1788,9,1465,,
320,,Erzyanin,1680,9,1354,,
321,,economist101,1952,8,2547,,
322,,Xinvoker,2217,8,2515,,
323,,dedvlad30,1998,8,2435,,
324,,DeChok,1824,8,2364,,
325,,OLiverOL10,2069,8,2315,,
326,,Albandm,1823,8,2297,,
327,,goldenheart,1848,8,2288,,
328,,doitnow,1904,8,2245,,
329,,gordanacvetanovic,1758,8,2181,,
330,,AZIZBEKYAN,2258,8,2176,,
331,,tEdIhArD,2133,8,2164,,
332,,Playerrha,1945,8,2158,,
333,,LOMOCRE,1693,8,2156,,
334,,Alhexie,1959,8,2149,,
335,,Sergei_Tarasov,2114,8,2111,,
336,,ProtonM,1910,8,2101,,
337,,viktor-1960,1798,8,2092,,
338,,Tinotin,1961,8,2090,,
339,,Thoma85,1812,8,2059,,
340,,Yakcello,1648,8,2034,,
341,,LAshi1,1602,8,2031,,
342,,Barinjaka,2029,8,2016,,
343,,HaN77,1935,8,2015,,
344,,smrevgeniy,1831,8,2001,,
345,,rufat-novichok,1527,8,1999,,
346,,laza05,2037,8,1984,,
347,,dzukou,2067,8,1978,,
348,,Djastin,1908,8,1965,,
349,,tatarsezgin,1923,8,1959,,
350,,Jubaer113,1697,8,1935,,
351,,u1r2i3,1916,8,1934,,
352,,uniclar98,1915,8,1923,,
353,,Arbaletovajanna,1967,8,1919,,
354,,ardrrriiiichhhhh,1522,8,1918,,
355,,Njivahasiniaina,1750,8,1916,,
356,,Iorsh,1870,8,1908,,
357,,chenchov,2170,8,1895,,
358,,Viktor_Ka,2416,8,1892,,
359,,pikus2,1755,8,1891,,
360,,ElchinW,1682,8,1890,,
361,,chusgijon,1717,8,1883,,
362,,eymbee01,1832,8,1877,,
363,,navigator_gma,1487,8,1864,,
364,,stpuh,1803,8,1844,,
365,,igorrisland,2051,8,1840,,
366,,erenen,1570,8,1837,,
367,,badbchess,1995,8,1825,,
368,,billmisias,1979,8,1820,,
369,,Panglima_Kudahitam,1905,8,1816,,
370,,KudaBinal_73,1742,8,1809,,
371,,Igoreoc1,1658,8,1805,,
372,,Suwandi69,1770,8,1798,,
373,,Dinglirenguya,1883,8,1798,,
374,,doktorzet,1915,8,1795,,
375,,prathyurazz,1640,8,1789,,
376,,Stevolicious,1731,8,1789,,
377,,BoAnd73,1590,8,1769,,
378,,raban24,1593,8,1767,,
379,,zcanik,1546,8,1765,,
380,,rdx1_vishal_katariya,1387,8,1757,,
381,,Roman-Nsk,1906,8,1741,,
382,,Mayeso,1228,8,1723,,
383,,Drdk54,1497,8,1722,,
384,,Achille_Debussy,1834,8,1722,,
385,,chiragarora,1651,8,1699,,
386,,Naser50,1651,8,1697,,
387,,Valerij_Lipetsk,1558,8,1696,,
388,,Valery_shom1,1788,8,1696,,
389,,raquiboi,1811,8,1695,,
390,,gedge1981,1512,8,1689,,
391,,tubudi,1607,8,1685,,
392,,doni2008,1698,8,1684,,
393,,AlexKennet,1747,8,1668,,
394,,shahed3,1699,8,1652,,
395,,phgrilo,1931,8,1651,,
396,,Tokepinangulim,1662,8,1641,,
397,,KiyotakaAyanokoji07,1567,8,1633,,
398,,jurijns,1578,8,1574,,
399,,Smoker1985,1484,8,1542,,
400,,Naganand,1323,8,1534,,
401,,Tigran_Seviyan,1321,8,1531,,
402,,jorg3rd,1442,8,1522,,
403,,iliqn72,1678,8,1517,,
404,,BrotherManBM,1824,8,1513,,
405,,VolodymyrKarpinskii,1579,8,1488,,
406,,HazOnTheBlock00,1479,8,1460,,
407,,maliakyildiz,1452,8,1406,,
408,,ToddElder,1226,8,1099,,
409,,userNameDC,2033,7,2217,,
410,,Young_Widow02,2153,7,2106,,
411,,Ardena,2006,7,1905,,
412,,PscIonG,1758,7,1896,,
413,,Misha_Dinozavrik,1815,7,1797,,
414,,georgdev,1713,7,1795,,
415,,DPP_1777,1962,7,1755,,
416,,caswell39,1776,7,1736,,
417,,Adidas2007,1835,7,1707,,
418,,Adiahirwar,1689,7,1658,,
419,,kbkloveschess,1738,7,1653,,
420,,mohsenjojo74,1763,7,1611,,
421,,kjellhudik,1646,7,1599,,
422,,Igor_Polomoh2,1735,7,1552,,
423,,Dvoice,1698,7,1533,,
424,,Deep_Ekka_69,1708,7,1521,,
425,,Delarj2,1643,7,1500,,
426,,Nibhishp,1224,7,1480,,
427,,counterque,1584,7,1463,,
428,,Cruzeiro_DNA,2204,6,2380,,
429,,ShpakOleg,2006,6,2183,,
430,,pannaina_nogue,2094,6,2176,,
431,,AleksandraYurevnaDUT,2009,6,2162,,
432,,Piatekolo,1737,6,2144,,
433,,Sela74,1906,6,2107,,
434,,elmonkey,1762,6,2071,,
435,,adhamjon4012,2030,6,1996,,
436,,MirazSarder,2001,6,1972,,
437,,Archiekhv,2027,6,1965,,
438,,Kozlov_246,1637,6,1949,,
439,,Timtimginting,2025,6,1938,,
440,,iyuszzzzzz,1996,6,1934,,
441,,I_P,1604,6,1933,,
442,,ClotharClov,1901,6,1920,,
443,,Petrov1357,1895,6,1898,,
